Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Torsplan 10, vån 8",Vasastan/Hagastaden,Stockholms kommun,2021-11-13,7825000,7395000,Lägenhet,Bostadsrätt,2 ,59 ,True,8 av 34,True,2020,3722,
Torsplan 10,Hagastaden,Stockholms kommun,2021-11-06,16500000,15950000,Lägenhet,Bostadsrätt,4 ,106 ,False,,,2018,5885,3500
Torsplan 8,Hagastaden,Stockholms kommun,2021-11-03,15700000,14950000,Lägenhet,Bostadsrätt,3 ,92 ,True,,,2018,5195,3718
Torsplan 10,Hagastaden,Stockholms kommun,2021-10-25,16500000,16500000,Lägenhet,Bostadsrätt,4 ,106 ,True,,,2018,5885,3500
"Torsplan 8, vån 10",Vasastaden,Stockholms kommun,2021-10-12,9850000,9850000,Lägenhet,Bostadsrätt,3 ,77 ,True,10 av 35,True,2019,4516,
"Torsplan 10, våning 10",Hagastaden,Stockholms kommun,2021-10-11,10500000,9195000,Lägenhet,Bostadsrätt,3 ,68 ,True,10,True,2020,4136,
"Torsplan 8, plan 19",Vasastan/Hagastan,Stockholms kommun,2021-09-28,8550000,7450000,Lägenhet,Bostadsrätt,2 ,62 ,True,19 av 35,True,2016,3834,
"Torsplan 8, vån 21",Torsplan,Stockholms kommun,2021-09-27,8675000,8675000,Lägenhet,Bostadsrätt,2 ,62 ,True,21 av 35,True,2019,3834,
Torsplan 8,Hagastaden,Stockholms kommun,2021-09-24,11400000,11400000,Lägenhet,Bostadsrätt,3 ,85 ,True,10 av 36,True,2018,4908,3718
"Torsplan 8, 11tr",Vasastan,Stockholms kommun,2021-09-23,9925000,9950000,Lägenhet,Bostadsrätt,3 ,79 ,True,11,True,2018,4611,5300
"Torsplan 10, 15 tr",Hagastaden/Vasastan,Stockholms kommun,2021-09-19,9150000,7495000,Lägenhet,Bostadsrätt,2 ,56 ,True,15 av 33,True,2018,3584,5000
"Torsplan 10, vån 14",Vasastan/Hagastaden,Stockholms kommun,2021-09-13,9150000,7350000,Lägenhet,Bostadsrätt,2 ,59 ,True,14 av 34,True,2019,3722,
"Torsplan 8, vån 13",Hagastaden,Stockholms kommun,2021-09-10,9350000,9350000,Lägenhet,Bostadsrätt,3 ,65 ,False,13 av 35,True,2019,3950,
"Torsplan 8, vån 1",Vasastan/Torsplan,Stockholms kommun,2021-09-04,8000000,7995000,Lägenhet,Bostadsrätt,3 ,87 ,,1 av 36,False,,4966,
Torsplan 10,Vasastan,Stockholms kommun,2021-08-23,10200000,9995000,Lägenhet,Bostadsrätt,3 ,92 ,True,10 av 35,True,2020,5241,5500
Torsplan 8,Hagastaden,Stockholms kommun,2021-08-20,11850000,11295000,Lägenhet,Bostadsrätt,3 ,85 ,True,,,2018,4908,3718
Torsplan 8,Vasastaden,Stockholms kommun,2021-08-04,9940000,9995000,Lägenhet,Bostadsrätt,3 ,85 ,True,15 av 35,True,2019,4905,
"Torsplan 8, 20 tr",Hagastaden/Vasastan,Stockholms kommun,2021-07-21,15300000,14650000,Lägenhet,Bostadsrätt,4 ,104 ,True,20 av 36,True,2018,5755,9000
Torsplan 8,Hagastaden,Stockholms kommun,2021-07-14,6425000,5995000,Lägenhet,Bostadsrätt,2 ,59 ,True,7 av 36,True,2018,3656,3718
"Torsplan 8, vån 22",Vasastaden,Stockholms kommun,2021-07-13,20000000,19995000,Lägenhet,Bostadsrätt,4 ,110 ,True,22 av 35,True,2019,6046,
Torsplan 8,Hagastaden,Stockholms kommun,2021-07-11,12550000,11495000,Lägenhet,Bostadsrätt,3 ,86 ,True,20 av 36,True,2018,4933,3718
Torsplan 8,Vasastan/ Hagastaden,Stockholms kommun,2021-06-24,6550000,6295000,Lägenhet,Bostadsrätt,"2,5 ",63 ,,,,2019,3866,9800
"Torsplan 8, vån 23",Vasastan/Hagastaden,Stockholms kommun,2021-06-23,12100000,11995000,Lägenhet,Bostadsrätt,3 ,76 ,True,23 av 35,True,2019,4447,
"Torsplan 8, vån 20",Vasastaden,Stockholms kommun,2021-06-05,7800000,7295000,Lägenhet,Bostadsrätt,2 ,62 ,True,20 av 35,True,2019,3807,
"Torsplan 8, vån 27",Vasastaden,Stockholms kommun,2021-05-27,10925000,11000000,Lägenhet,Bostadsrätt,3 ,79 ,True,27 av 35,True,2019,4619,
"Torsplan 8, vån 2",Vasastan/Hagastaden,Stockholms kommun,2021-05-27,8500000,8195000,Lägenhet,Bostadsrätt,4 ,88 ,True,2 av 35,True,2018,5017,
"Torsplan 8, vån 8",Stockholm - Vasastan/Norrmalm,Stockholms kommun,2021-05-24,6360000,6195000,Lägenhet,Bostadsrätt,2 ,63 ,True,8 av 36,True,2018,3847,4200
Torsplan 10,Hagastaden,Stockholms kommun,2021-05-23,9700000,9295000,Lägenhet,Bostadsrätt,3 ,77 ,False,18 av 36,True,2018,4551,2000
Torsplan 8,Hagastaden,Stockholms kommun,2021-05-11,6200000,5995000,Lägenhet,Bostadsrätt,2 ,60 ,True,8 av 36,True,2018,3704,3718
Torsplan 8,Hagastaden,Stockholms kommun,2021-05-11,10800000,9995000,Lägenhet,Bostadsrätt,3 ,79 ,True,25 av 36,True,2018,4981,3718
Torsplan 8 - Våning 12,Vasastan Hagastaden,Stockholms kommun,2021-05-11,9200000,8450000,Lägenhet,Bostadsrätt,3 ,77 ,True,12 av 36,True,2018,4516,6300
Torsplan 10,Hagastaden,Stockholms kommun,2021-05-06,11500000,10995000,Lägenhet,Bostadsrätt,3 ,80 ,True,,,2018,4949,2000
"Torsplan 8, vån 5",Vasastan/Hagastaden,Stockholms kommun,2021-04-26,5875000,5495000,Lägenhet,Bostadsrätt,2 ,57 ,True,5 av 35,True,2019,3574,
"Torsplan 10, vån 7",Vasastaden,Stockholms kommun,2021-04-25,10900000,10995000,Lägenhet,Bostadsrätt,4 ,110 ,True,7 av 34,True,2019,6069,
"Torsplan 8, vån 31",Vasastaden,Stockholms kommun,2021-04-18,16300000,14975000,Lägenhet,Bostadsrätt,4 ,109 ,True,31 av 35,True,2019,5993,
"Torsplan 10, 9tr",Vasastan - Hagastaden,Stockholms kommun,2021-04-13,6440000,5995000,Lägenhet,Bostadsrätt,2 ,56 ,,9 av 34,True,2018,3584,
"Torsplan 8, plan 14",Vasastaden,Stockholms kommun,2021-03-31,7000000,7000000,Lägenhet,Bostadsrätt,2 ,63 ,True,14 av 36,True,,3847,
"Torsplan 8, vån 17",Hagastaden,Stockholms kommun,2021-03-11,11300000,11300000,Lägenhet,Bostadsrätt,4 ,85 ,True,17 av 35,True,2019,4909,
Torsplan 10,Hagastaden,Stockholms kommun,2021-03-05,11500000,9995000,Lägenhet,Bostadsrätt,3 ,80 ,False,,,2018,4949,2000
"Torsplan 8, vån 21",Vasastaden,Stockholms kommun,2021-03-02,12950000,12950000,Lägenhet,Bostadsrätt,5 ,98 ,True,21 av 35,True,2019,5500,
"Torsplan 10, vån 27",Vasastan,Stockholms kommun,2021-03-02,14800000,15400000,Lägenhet,Bostadsrätt,4 ,106 ,True,,,,5885,
Torsplan 10.  Våning 26,Vasastan/ Torsplan,Stockholms kommun,2021-02-28,14500000,14500000,Lägenhet,Bostadsrätt,4 ,106 ,True,26,True,2018,5885,3500
Torsplan 8,Vasastaden/Hagastaden,Stockholms kommun,2021-02-16,10000000,8995000,Lägenhet,Bostadsrätt,3 ,75 ,True,20 av 36,True,2018,4401,3718
"Torsplan 8, vån 9 - Accepterat pris!",Vasastan - Hagastaden,Stockholms kommun,2021-02-12,6440000,6500000,Lägenhet,Bostadsrätt,2 ,63 ,True,9 av 36,True,,3866,
"Torsplan 8, vån 11",Vasastaden,Stockholms kommun,2021-02-10,9175000,8495000,Lägenhet,Bostadsrätt,3 ,86 ,True,11 av 35,True,2019,4916,
"Torsplan 8, 21 tr",Vasastan,Stockholms kommun,2021-01-25,11300000,11300000,Lägenhet,Bostadsrätt,4 ,90 ,True,21 av 35,True,2018,5109,5500
"Torsplan 8, vån 10",Vasastan/Hagastaden,Stockholms kommun,2021-01-24,6975000,6695000,Lägenhet,Bostadsrätt,2 ,61 ,True,10 av 35,True,2019,3766,
"Torsplan 8, vån 5",Vasastan/Hagastaden,Stockholms kommun,2021-01-23,5700000,5495000,Lägenhet,Bostadsrätt,2 ,57 ,True,5 av 35,True,2019,3588,
"Torsplan 8, 9tr",Vasastan / Torsplan,Stockholms kommun,2021-01-14,6550000,6150000,Lägenhet,Bostadsrätt,2 ,58 ,True,9,True,2016,3621,10308
Torsplan 10,Vasastan,Stockholms kommun,2021-01-13,7250000,6995000,Lägenhet,Bostadsrätt,3 ,68 ,True,,,2018,4136,5500
"Torsplan 8, våning 6",Vasastan/Hagastaden,Stockholms kommun,2020-12-29,6000000,5695000,Lägenhet,Bostadsrätt,2 ,60 ,True,6 av 35,True,2019,3702,
"Torsplan 10, 17 tr",Vasastan,Stockholms kommun,2020-12-22,8400000,8450000,Lägenhet,Bostadsrätt,3 ,71 ,True,,,2018,4274,
"Torsplan 8, vån 6",Vasastan/Hagastaden,Stockholms kommun,2020-12-15,5900000,5900000,Lägenhet,Bostadsrätt,2 ,61 ,True,6 av 35,True,2019,3766,
Torsplan 10 lgh 02.3703,Vasastaden,Stockholms kommun,2020-12-14,10500000,10975000,Lägenhet,Bostadsrätt,3 ,88 ,True,,,,5057,
Torsplan 8 vån 12,Vasastan,Stockholms kommun,2020-12-04,8000000,8200000,Lägenhet,Bostadsrätt,3 ,74 ,True,,,2018,4390,10000
"Torsplan 8, vån 15",Vasastaden,Stockholms kommun,2020-12-01,6815000,6800000,Lägenhet,Bostadsrätt,2 ,59 ,False,15 av 35,True,2019,3657,
Torsplan 10 - Våning 22,Vasastan Hagastaden,Stockholms kommun,2020-12-01,13700000,13700000,Lägenhet,Bostadsrätt,4 ,101 ,True,22 av 34,True,2020,5654,
"Torsplan 8, vån 5",Vasastan/Hagastaden,Stockholms kommun,2020-11-20,7350000,7195000,Lägenhet,Bostadsrätt,3 ,79 ,False,5 av 35,True,2019,4598,
"Torsplan 8, vån 13",Hagastaden,Stockholms kommun,2020-11-19,6600000,6295000,Lägenhet,Bostadsrätt,2 ,63 ,True,13 av 35,True,2019,3866,
Torsplan 10,Vasastan,Stockholms kommun,2020-11-16,7200000,7495000,Lägenhet,Bostadsrätt,3 ,56 ,True,14 av 36,True,2018,3584,5900
"Torsplan 10, plan 23",Hagastaden Vasastan,Stockholms kommun,2020-11-02,10550000,10895000,Lägenhet,Bostadsrätt,3 ,88 ,True,23 av 34,True,2018,5057,
"Torsplan 8, vån 26",Vasastan/Hagastaden,Stockholms kommun,2020-11-01,9225000,9195000,Lägenhet,Bostadsrätt,3 ,78 ,True,26 av 35,True,2019,4543,
"Torsplan 10, vån 29",Vasastan/Hagastaden,Stockholms kommun,2020-10-23,11200000,11200000,Lägenhet,Bostadsrätt,3 ,87 ,,29 av 34,False,2018,5011,
"Torsplan 8, vån 3",Vasastan/Hagastaden,Stockholms kommun,2020-10-19,10300000,10300000,Lägenhet,Bostadsrätt,4 ,109 ,True,3 av 35,True,2019,5997,
"Torsplan 8, vån 14",Hagastaden - Vasastan,Stockholms kommun,2020-10-02,6750000,5995000,Lägenhet,Bostadsrätt,2 ,57 ,True,14 av 36,True,2019,3569,
