Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Cedergrensvägen 45,Midsommarkransen/Telefonplan,Stockholms kommun,2021-08-15,3600000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,1,False,1940,2981,7372
"Midsommarvägen 25, vån 3",Midsommarkransen,Stockholms kommun,2021-08-14,3410000,2795000,Lägenhet,Bostadsrätt,2 ,44 ,True,3 av 4,False,1944,3274,3900
"Valborgsmässovägen 20D, vån 2",Midsommarkransen/Telefonplan,Stockholms kommun,2021-08-13,3225000,2795000,Lägenhet,Bostadsrätt,2 ,45 ,False,2 av 3,True,2017,2374,5500
Tellusborgsvägen 11,Midsommarkransen,Stockholms kommun,2021-08-10,4250000,3495000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 3,False,1947,3075,6460
Midsommarvägen 52,Midsommarkransen,Stockholms kommun,2021-08-04,4075000,2995000,Lägenhet,Bostadsrätt,2 ,48 ,True,1 av 3,False,1944,3354,7440
"Midsommarvägen 25, 2 tr",Midsommarkransen,Stockholms kommun,2021-07-09,3450000,2895000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 4,False,1944,3120,4400
Pingstvägen 27A,Midsommarkransen,Stockholms kommun,2021-07-07,3550000,2995000,Lägenhet,Bostadsrätt,2 ,47 ,False,,,1940,2833,3083
"Tellusborgsvägen 65e, 1 tr",Midsommarkransen/Telefonplan,Stockholms kommun,2021-06-24,4575000,3895000,Lägenhet,Bostadsrätt,2 ,60 ,False,1 av 4,True,2009,2514,
Bäckvägen 50,Midsommarkransen,Stockholms kommun,2021-06-23,3510000,2950000,Lägenhet,Bostadsrätt,2 ,52 ,True,3 av 3,True,1943,2924,4652
"Tellusborgsvägen 94, vån 3",Midsommarkransen/Telefonplan,Stockholms kommun,2021-06-23,3115000,2495000,Lägenhet,Bostadsrätt,2 ,39 ,True,3 av 6,True,2015,2317,4600
Kransbindarvägen 27,Midsommarkransen/Telefonplan,Stockholms kommun,2021-06-23,3550000,2895000,Lägenhet,Bostadsrätt,2 ,51 ,False,1,False,1940,2950,11230
"Valborgsmässovägen 20C, vån 2",Midsommarkransen/Telefonplan,Stockholms kommun,2021-06-21,3300000,2995000,Lägenhet,Bostadsrätt,2 ,54 ,False,2 av 3,True,2017,2752,5500
"Midsommarvägen 78, vån 3",Midsommarkransen,Stockholms kommun,2021-06-17,2860000,2395000,Lägenhet,Bostadsrätt,2 ,41 ,True,3 av 3,False,1944,2235,4400
"Tellusborgsvägen 78A, 3 tr",Midsommarkransen,Stockholms kommun,2021-06-17,3270000,2695000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1944,2367,4100
"Tellusborgsvägen 50, vån 2 av 3",Midsommarkransen,Stockholms kommun,2021-06-17,3550000,2995000,Lägenhet,Bostadsrätt,2 ,50 ,True,2 av 3,False,1939,2686,6000
Kyndelsmässogränd 13,Midsommarkransen,Stockholms kommun,2021-06-17,3300000,2695000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1944,3222,2700
"Tellusborgsvägen 78, vån 3",Midsommarkransen,Stockholms kommun,2021-06-10,3250000,2695000,Lägenhet,Bostadsrätt,2 ,43 ,True,3 av 3,False,1944,2384,7020
Pingstvägen 42,Midsommarkransen,Stockholms kommun,2021-06-10,2840000,2195000,Lägenhet,Bostadsrätt,2 ,35 ,False,1 av 3,False,1940,2235,3083
"Nioörtsvägen 28A, vån 2",Midsommarkransen,Stockholms kommun,2021-06-09,3700000,2995000,Lägenhet,Bostadsrätt,2 ,"49,6 ",True,2 av 4,True,1973,2251,6000
Valborgsmässovägen 17,Telefonplan - Midsommarkransen,Stockholms kommun,2021-06-09,3700000,2950000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1939,2981,6200
Pingstvägen 23A,Telefonplan - Midsommarkransen,Stockholms kommun,2021-06-09,3655000,2850000,Lägenhet,Bostadsrätt,2 ,48 ,False,,,1938,2958,7358
Cedergrensvägen 39,Telefonplan,Stockholms kommun,2021-05-28,3350000,3300000,Lägenhet,Bostadsrätt,2 ,51 ,False,2 av 3,False,1939,2981,7175
Valsbergs Gränd 7,Midsommarkransen,Stockholms kommun,2021-05-27,3700000,2950000,Lägenhet,Bostadsrätt,2 ,60 ,False,1 av 3,False,1936,4436,3120
Vattenledningsvägen 71,Midsommarkransen,Stockholms kommun,2021-05-27,3245000,2595000,Lägenhet,Bostadsrätt,2 ,40 ,True,1 av 4,True,1938,1380,4500
Tellusborgsvägen 50,Midsommarkransen,Stockholms kommun,2021-05-26,3750000,2995000,Lägenhet,Bostadsrätt,2 ,50 ,True,3 av 3,False,1939,2753,10008
Midsommarvägen 27,Midsommarkransen,Stockholms kommun,2021-05-25,2900000,3100000,Lägenhet,Bostadsrätt,2 ,44 ,True,4 av 4,False,1943 - 1944,3274,7058
Valborgsmässovägen 1,Telefonplan / Midsommarkransen,Stockholms kommun,2021-05-25,3310000,2695000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1940,2950,10100
Oktobergatan 14,Midsommarkransen,Stockholms kommun,2021-05-21,2650000,2595000,Lägenhet,Bostadsrätt,2 ,41 ,False,1 av 3,False,1939,2155,5373
"Midsommarvägen 23, vån 2",Midsommarkransen,Stockholms kommun,2021-05-20,3120000,2695000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 4,False,1944,3120,4600
"Cedergrensvägen 53, vån 3",Midsommarkransen/Telefonplan,Stockholms kommun,2021-05-20,2800000,2195000,Lägenhet,Bostadsrätt,2 ,"34,5 ",False,3 av 3,False,1940,2291,5000
Vattenledningsvägen 81,Telefonplan,Stockholms kommun,2021-05-20,3190000,2695000,Lägenhet,Bostadsrätt,2 ,43 ,True,1 av 3,False,1946,2853,12936
Kransbindarvägen 49,Midsommarkransen/Telefonplan,Stockholms kommun,2021-05-19,2750000,2195000,Lägenhet,Bostadsrätt,2 ,35 ,False,1,False,1940,2235,3312
Bäckvägen 67,Telefonplan - Midsommarkransen,Stockholms kommun,2021-05-18,3400000,2750000,Lägenhet,Bostadsrätt,2 ,46 ,True,1 av 3,False,1945,3178,4800
Midsommarvägen 50,Midsommarkransen,Stockholms kommun,2021-05-14,3600000,2795000,Lägenhet,Bostadsrätt,2 ,48 ,True,1 av 3,False,1944,3547,9640
Cedergrensvägen 40,Midsommarkransen/Telefonplan,Stockholms kommun,2021-05-14,3500000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,3 av 3,False,1940,2950,7855
Tellusborgsvägen 92,Midsommarkransen/Telefonplan,Stockholms kommun,2021-05-11,2900000,2495000,Lägenhet,Bostadsrätt,2 ,35 ,True,1 av 6,True,2012,1949,3571
"Tellusborgsvägen 78A, vån 3",Midsommarkransen,Stockholms kommun,2021-05-10,3500000,2695000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1944,2367,4800
Tellusborgsvägen 35,Midsommarkransen,Stockholms kommun,2021-05-09,3370000,2895000,Lägenhet,Bostadsrätt,2 ,54 ,True,4 av 4,False,1949,2841,5000
Bäckvägen 92A,Telefonplan,Stockholms kommun,2021-05-07,2760000,2295000,Lägenhet,Bostadsrätt,2 ,40 ,False,1 av 3,False,1942,2193,8092
"Kyndelsmässogränd 11, vån 3 av 3!",Midsommarkransen,Stockholms kommun,2021-05-06,3150000,2695000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1944,3222,8868
"Cedergrensvägen 53, 2 tr",Midsommarkransen/Telefonplan,Stockholms kommun,2021-05-04,2740000,2195000,Lägenhet,Bostadsrätt,2 ,"34,5 ",False,2 av 3,False,1939,2291,7754
"Vattenledningsvägen 87, vån 2",Midsommarkransen,Stockholms kommun,2021-04-28,3110000,2695000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 3,False,1946,2880,5300
Kransbindarvägen 12,Midsommarkransen,Stockholms kommun,2021-04-27,3760000,2895000,Lägenhet,Bostadsrätt,2 ,50 ,False,1 av 3,True,1939,2772,2000
Midsommarparken 5A,Midsommarkransen,Stockholms kommun,2021-04-27,3025000,2495000,Lägenhet,Bostadsrätt,2 ,36 ,False,3 av 3,False,1939,2185,7488
Ringdansvägen 5B,Hägersten,Stockholms kommun,2021-04-27,5050000,4395000,Lägenhet,Bostadsrätt,2 ,60 ,False,2 av 4,False,1911,3506,10000
Valborgsmässovägen 34,Midsommarkransen,Stockholms kommun,2021-04-22,3500000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1939,2981,2000
Oktobergatan 8,Midsommarkransen,Stockholms kommun,2021-04-22,2900000,2495000,Lägenhet,Bostadsrätt,2 ,41 ,False,1 av 3,False,1939,2155,7640
Midsommarvägen 25,Midsommarkransen,Stockholms kommun,2021-04-21,3100000,2750000,Lägenhet,Bostadsrätt,2 ,44 ,True,1 av 4,False,1944,3058,4800
"Midsommarvägen 44, vån 2 av 3",Midsommarkransen,Stockholms kommun,2021-04-15,3030000,2495000,Lägenhet,Bostadsrätt,2 ,40 ,True,2 av 3,False,1944,3160,5940
"Valborgsmässovägen 20C, vån 3",Midsommarkransen/Telefonplan,Stockholms kommun,2021-04-15,2875000,2895000,Lägenhet,Bostadsrätt,2 ,35 ,False,3 av 3,True,2017,1250,4300
Tegelbruksvägen 12,Midsommarkransen,Stockholms kommun,2021-04-14,3070000,2750000,Lägenhet,Bostadsrätt,2 ,48 ,False,3 av 3,True,1938,3106,7200
Vattenledningsvägen 71,Midsommarkransen,Stockholms kommun,2021-04-04,3100000,2495000,Lägenhet,Bostadsrätt,2 ,"37,5 ",True,3 av 4,True,1938,1400,6384
