Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Oppundavägen 29,Svedmyra,Stockholms kommun,2021-09-24,2900000,2495000,Lägenhet,Bostadsrätt,2 ,58 ,True,2 av 3,False,1950,3612,7300
Enskedevägen 164,Svedmyra,Stockholms kommun,2021-09-22,4010000,3095000,Lägenhet,Bostadsrätt,2 ,70 ,,1 av 4,True,2018,3860,9316
Nynäsvägen 323,Enskede - Gamla Enskede,Stockholms kommun,2021-09-22,4825000,4825000,Lägenhet,Bostadsrätt,2 ,69 ,False,2 av 3,False,1913,4012,6036
"Dalgränd 52, 3tr",Enskededalen,Stockholms kommun,2021-09-22,2700000,2495000,Lägenhet,Bostadsrätt,2 ,64 ,True,3 av 3,True,1981,4145,5160
Slåttervägen 3,Enskededalen,Stockholms kommun,2021-09-20,4000000,3475000,Lägenhet,Bostadsrätt,2 ,54 ,True,1 av 3,False,1930,3308,4300
Grusåsgränd 162,Enskededalen,Stockholms kommun,2021-09-16,2810000,2495000,Lägenhet,Bostadsrätt,2 ,64 ,False,,,1980,3013,3480
Skolvägen 7,Gamla Enskede,Stockholms kommun,2021-09-09,4000000,3495000,Lägenhet,Bostadsrätt,2 ,61 ,False,2 av 3,False,1925,3696,7066
Postiljonsvägen 29,Svedmyra,Stockholms kommun,2021-09-08,2970000,2795000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 4,False,1948,2760,4200
Dalgränd 10,Gamla Enskede,Stockholms kommun,2021-09-08,3080000,2795000,Lägenhet,Bostadsrätt,2 ,60 ,True,3 av 3,True,1981,2046,3500
Glasmålarvägen 10,Enskede - Enskededalen,Stockholms kommun,2021-09-07,2650000,2650000,Lägenhet,Bostadsrätt,2 ,52 ,False,1 av 4,False,1943,2868,4200
Nynäsvägen 362,Enskede - Gamla Enskede,Stockholms kommun,2021-08-28,2950000,2950000,Lägenhet,Bostadsrätt,2 ,44 ,True,1 av 2,False,1939,3018,3840
Sockenvägen 367,Gamla Enskede,Stockholms kommun,2021-08-23,2850000,2495000,Lägenhet,Bostadsrätt,2 ,40 ,True,3 av 3,False,1942,2384,2300
Nynäsvägen 330,Gamla Enskede,Stockholms kommun,2021-08-20,4350000,3695000,Lägenhet,Bostadsrätt,2 ,66 ,False,1 av 3,False,1926,1309,9000
Odelbergsvägen 27,Enskede Gård,Stockholms kommun,2021-08-18,3380000,2995000,Lägenhet,Bostadsrätt,2 ,49 ,True,1 av 3,False,1931,2133,4000
"Nynäsvägen 352, 2 tr",Gamla Enskede,Stockholms kommun,2021-08-17,2890000,2295000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 2,False,1939,2960,4200
Oppundavägen 25,Svedmyra,Stockholms kommun,2021-08-13,2950000,2495000,Lägenhet,Bostadsrätt,2 ,58 ,True,2 av 3,False,1949 - 1950,3612,5208
Enskedevägen 170,Svedmyra,Stockholms kommun,2021-07-01,3650000,3375000,Lägenhet,Bostadsrätt,2 ,65 ,True,,,2018,3678,4400
Enskedevägen 172,Svedmyra,Stockholms kommun,2021-06-20,2820000,2795000,Lägenhet,Bostadsrätt,2 ,50 ,True,2 av 4,True,2018,3059,3840
Jönåkersvägen 21,Svedmyra,Stockholms kommun,2021-06-16,2540000,1990000,Lägenhet,Bostadsrätt,2 ,56 ,True,3 av 3,False,1950,3717,3000
Jönåkersvägen 19,Svedmyra,Stockholms kommun,2021-06-13,2800000,2495000,Lägenhet,Bostadsrätt,2 ,56 ,True,3 av 3,False,1950,3717,6600
Bersågränd 4,Enskededalen,Stockholms kommun,2021-06-12,3150000,2650000,Lägenhet,Bostadsrätt,2 ,65 ,True,3 av 4,True,1981,2735,6192
"Tussmötevägen 134C, 1 tr",Svedmyra/Enskede,Stockholms kommun,2021-06-10,3000000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,True,1 av 5,True,2019,3422,3660
Oppundavägen 13,Svedmyra/enskede,Stockholms kommun,2021-06-08,2950000,2495000,Lägenhet,Bostadsrätt,2 ,56 ,True,3 av 3,False,1950,3237,3600
Postiljonsvägen 31,Enskede - Svedmyra,Stockholms kommun,2021-06-07,3400000,3195000,Lägenhet,Bostadsrätt,2 ,53 ,True,3 av 4,False,1948,2735,4200
Nynäsvägen 303,Gamla Enskede,Stockholms kommun,2021-06-02,3600000,3700000,Lägenhet,Bostadsrätt,2 ,69 ,False,3 av 3,False,1925,4001,4756
