Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Båtbyggargatan 21,Hammarby Sjöstad,Stockholms kommun,2020-05-09,3400000,3495000,Lägenhet,Bostadsrätt,2 ,50 ,True,4 av 6,True,2019,2704,4250
"Hammarby Allé 9, 4 tr",Hammarby Sjöstad,Stockholms kommun,2020-04-21,4350000,3850000,Lägenhet,Bostadsrätt,2 ,56 ,False,,,2016,3245,4200
Hammarby Allé 149,Hammarby Sjöstad,Stockholms kommun,2020-03-06,3375000,3295000,Lägenhet,Bostadsrätt,2 ,50 ,True,3 av 7,True,2003,3511,6971
"Hästholmsvägen 10, 5 tr",Södermalm/Danviksklippan,Stockholms kommun,2020-03-04,3850000,3350000,Lägenhet,Bostadsrätt,2 ,51 ,True,,,1945,2431,4200
Virkesvägen 17C,Hammarby Sjöstad,Stockholms kommun,2020-03-04,3550000,3550000,Lägenhet,Bostadsrätt,2 ,56 ,False,,,2018,3083,7260
Fartygsgatan 4,Hammarby Sjöstad,Stockholms kommun,2020-02-15,3900000,3650000,Lägenhet,Bostadsrätt,2 ,"55,5 ",True,,,2007,3733,2400
Båtklubbsgatan 17,Hammarby Sjöstad,Stockholms kommun,2020-02-12,4650000,3695000,Lägenhet,Bostadsrätt,2 ,54 ,True,,,2012,2764,5000
Heliosgatan 16A,Hammarby Sjöstad,Stockholms kommun,2020-02-05,3175000,3275000,Lägenhet,Bostadsrätt,2 ,48 ,False,,,2019,2750,6000
Styrbordsgatan 21,Hammarby Sjöstad,Stockholms kommun,2020-02-03,3295000,3295000,Lägenhet,Bostadsrätt,2 ,"59,5 ",False,,,2002,4044,5400
Redargatan 10,Hammarby Sjöstad,Stockholms kommun,2020-01-17,4175000,4250000,Lägenhet,Bostadsrätt,2 ,61 ,False,,,2009,3787,4000
Jan Inghes Torg 30,Hammarby Sjöstad - Henriksdalshamnen,Stockholms kommun,2019-12-28,3650000,3795000,Lägenhet,Bostadsrätt,2 ,"63,5 ",False,,,2012,3900,7500
"Lugnets Allé 57, ep",Hammarby Sjöstad,Stockholms kommun,2019-12-13,3820000,3495000,Lägenhet,Bostadsrätt,2 ,60 ,False,,,2001,3860,4000
Midskeppsgatan 21,Hammarby Sjöstad,Stockholms kommun,2019-12-12,3040000,3100000,Lägenhet,Bostadsrätt,2 ,46 ,False,,,2004,2387,3600
