Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Petrejusvägen 39,Johanneshov,Stockholms kommun,2021-05-20,4220000,3450000,Lägenhet,Bostadsrätt,2 ,67 ,True,3 av 4,True,1992,3691,5160
"Ljusnevägen 4, 3tr",Bagarmossen,Stockholms kommun,2021-05-19,3025000,2195000,Lägenhet,Bostadsrätt,2 ,44 ,True,3 av 4,True,2009,2651,4800
"Finn Malmgrens väg 112, 1 tr",Hammarbyhöjden,Stockholms kommun,2021-05-19,2800000,2900000,Lägenhet,Bostadsrätt,2 ,41 ,True,1,False,1943,2697,9840
Huvudskärsvägen 9,Kärrtorp,Stockholms kommun,2021-05-19,3865000,2895000,Lägenhet,Bostadsrätt,2 ,58 ,True,3 av 3,False,1949,3456,3500
Axvallsvägen 53,Björkhagen,Stockholms kommun,2021-05-18,3500000,2950000,Lägenhet,Bostadsrätt,2 ,59 ,True,2 av 3,False,1946,2842,10080
Glidflyktsgatan 1,Skarpnäck,Stockholms kommun,2021-05-17,2300000,2300000,Lägenhet,Bostadsrätt,2 ,49 ,False,,,1985,3428,4200
Pilotgatan 15,Skarpnäck,Stockholms kommun,2021-05-12,2565000,2295000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,2 av 4,True,1983,3945,5800
Tidaholmsvägen 30,Hammarbyhöjden,Stockholms kommun,2021-05-12,3850000,3295000,Lägenhet,Bostadsrätt,2 ,60 ,True,2 av 3,False,1939,4480,8400
Björnståhlsgatan 2,Hammarbyhöjden,Stockholms kommun,2021-05-11,4005000,3150000,Lägenhet,Bostadsrätt,2 ,51 ,True,2 av 3,False,1937,3186,7100
Karlsborgsvägen 17 (Högst upp!),Hammarbyhöjden,Stockholms kommun,2021-05-10,2800000,2195000,Lägenhet,Bostadsrätt,2 ,43 ,True,3 av 3,False,1943,3752,6504
"Karlsborgsvägen 15, 1 tr",Hammarbyhöjden,Stockholms kommun,2021-05-07,2470000,1995000,Lägenhet,Bostadsrätt,2 ,43 ,False,1 av 3,False,1943,3752,4932
"Karlsborgsvägen 15, 1 tr",Hammarbyhöjden,Stockholms kommun,2021-05-05,3400000,2995000,Lägenhet,Bostadsrätt,2 ,52 ,True,1 av 1,False,1943,4537,8700
Boråsvägen 6,Hammarbyhöjden,Stockholms kommun,2021-05-05,4050000,3200000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 3,False,1939,3363,10008
Nathorstvägen 5,Hammarbyhöjden / Skärmarbrink,Stockholms kommun,2021-05-05,3010000,2495000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1938,2825,6096
Hässleholmsvägen 9,Björkhagen,Stockholms kommun,2021-05-04,3800000,2995000,Lägenhet,Bostadsrätt,2 ,52 ,True,1,True,1947,2985,4200
Lidköpingsvägen 19,Hammarbyhöjden,Stockholms kommun,2021-05-03,3850000,3095000,Lägenhet,Bostadsrätt,2 ,56 ,True,2 av 3,False,1943,3454,7055
Vinggatan 32,Skarpnäck,Stockholms kommun,2021-04-30,2400000,1995000,Lägenhet,Bostadsrätt,2 ,59 ,True,3 av 3,True,1986,3469,3600
Hjovägen 1,Hammarbyhöjden,Stockholms kommun,2021-04-30,2925000,2450000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 3,False,1943,2381,5100
Voxnegränd 1,Bagarmossen,Stockholms kommun,2021-04-28,3150000,2595000,Lägenhet,Bostadsrätt,2 ,54 ,True,8 av 8,True,1954,4018,5400
Fyrvaktarkroken 48,Enskededalen,Stockholms kommun,2021-04-28,3940000,3195000,Lägenhet,Bostadsrätt,2 ,63 ,False,,,2009,3877,3840
Varmfrontsgatan 11,Skarpnäck,Stockholms kommun,2021-04-26,2350000,2350000,Lägenhet,Bostadsrätt,2 ,65 ,True,1 av 3,True,1985,4553,6000
"Bergsrådsvägen 30, 3tr",Bagarmossen,Stockholms kommun,2021-04-22,3150000,2450000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 3,False,1953,3672,5400
"Rusthållarvägen 143, 3tr",Bagarmossen,Stockholms kommun,2021-04-22,3000000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 3,False,1954,4024,5600
Karlskronavägen 6A,Johanneshov,Stockholms kommun,2021-04-21,3000000,2995000,Lägenhet,Bostadsrätt,2 ,"69,5 ",,0 av 4,True,2000,4439,6000
Sofielundsvägen 15,Blåsut,Stockholms kommun,2021-04-20,4250000,3795000,Lägenhet,Bostadsrätt,2 ,65 ,True,4 av 5,True,2013,3821,4800
"Vinggatan 28, 2tr",Skarpnäck,Stockholms kommun,2021-04-19,2580000,2295000,Lägenhet,Bostadsrätt,2 ,59 ,True,2 av 3,True,1986,3464,4000
