Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Gävlegatan 9, 4tr",Vasastan,Stockholms kommun,2022-08-16,4800000,4395000,Lägenhet,Bostadsrätt,2 ,44 ,False,4 av 4,False,1926,1741,
"Torsgatan 42C, Ö.G",Vasastan,Stockholms kommun,2022-08-16,4200000,4200000,Lägenhet,Bostadsrätt,2 ,"39,5 ",True,2,True,1929,2304,
"Frejgatan 18, 4 tr",Vasastan,Stockholms kommun,2022-08-16,3850000,4150000,Lägenhet,Bostadsrätt,2 ,44 ,True,4 av 5,True,1940,2043,
Vulcanusgatan 10,Vasastan / Atlas,Stockholms kommun,2022-08-16,4625000,3950000,Lägenhet,Bostadsrätt,2 ,39 ,,4 av 5,True,,2023,3600
"Sigtunagatan 14A, 2 tr",Vasastan - Vasaparken,Stockholms kommun,2022-08-15,5250000,4695000,Lägenhet,Bostadsrätt,2 ,39 ,True,2 av 4,False,1902,1492,500
"Karlbergsvägen 72B, 2 tr",Vasastan,Stockholms kommun,2022-08-15,5950000,5395000,Lägenhet,Bostadsrätt,2 ,55 ,False,2 av 5,True,1916,2337,4000
"Hagagatan 1, vån 6",Vasastan,Stockholms kommun,2022-08-15,5125000,4950000,Lägenhet,Bostadsrätt,2 ,60 ,False,6 av 7,True,1974,2780,5880
"Kammakargatan 21, vån 5",Vasastan,Stockholms kommun,2022-08-15,6300000,5995000,Lägenhet,Bostadsrätt,2 ,47 ,True,5 av 5,True,1942,3283,5200
"Norra Stationsgatan 119, 6tr Vind under produktion",Vasastan,Stockholms kommun,2022-08-14,6750000,6750000,Lägenhet,Bostadsrätt,2 ,55 ,True,6 av 6,True,1913,3208,
"Bråvallagatan 3, 2tr",Vasastan - Birkastan,Stockholms kommun,2022-08-12,4500000,4295000,Lägenhet,Bostadsrätt,2 ,42 ,,2,True,1929,2785,
"Tulegatan 43,  6 tr",Vasastan,Stockholms kommun,2022-08-12,5900000,5795000,Lägenhet,Bostadsrätt,2 ,60 ,True,6 av 8,True,1963,2397,
Norrbackagatan 15,Vasastan,Stockholms kommun,2022-08-12,5780000,5790000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 5,True,1906,1289,4200
"Hagaesplanaden 63, vån 6",Vasastan - Hagastaden,Stockholms kommun,2022-08-10,4495000,4495000,Lägenhet,Bostadsrätt,2 ,43 ,True,6 av 9,True,2022,2452,
Gävlegatan 26,Vasastan/Hagastaden,Stockholms kommun,2022-08-10,5100000,4995000,Lägenhet,Bostadsrätt,2 ,55 ,True,6 av 14,True,2017,2750,
"Vanadisplan 1, 3tr",Vasastan,Stockholms kommun,2022-08-10,4925000,4495000,Lägenhet,Bostadsrätt,2 ,45 ,,3,True,1926,1822,
"Birkagatan 26, 1,5tr",Vasastan - Birkastan,Stockholms kommun,2022-08-09,4250000,3490000,Lägenhet,Bostadsrätt,2 ,34 ,True,1,True,1904,1713,
"Hagagatan 50A, 2tr",Vasastan,Stockholms kommun,2022-08-09,6500000,,Lägenhet,Bostadsrätt,2 ,57 ,True,2,False,1912,3384,
Luntmakargatan 74,Vasastan,Stockholms kommun,2022-08-05,6100000,6400000,Lägenhet,Bostadsrätt,2 ,55 ,True,,,1914,3300,
"Frejgatan 4, 4tr",Vasastan/Östermalm,Stockholms kommun,2022-08-04,6800000,6695000,Lägenhet,Bostadsrätt,2 ,65 ,True,4 av 5,True,1902,2953,5880
Gävlegatan 26,Vasastaden,Stockholms kommun,2022-08-04,4900000,4995000,Lägenhet,Bostadsrätt,2 ,44 ,True,12 av 14,True,2017,2200,
