Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Gotlandsgatan 64, 4 tr",Södermalm - Sofo,Stockholms kommun,2022-08-17,4700000,3995000,Lägenhet,Bostadsrätt,2 ,42 ,True,4 av 6,True,1929,2270,
"Krukmakargatan 6, 7 tr",Södermalm-Maria,Stockholms kommun,2022-08-17,5850000,4650000,Lägenhet,Bostadsrätt,2 ,58 ,True,7 av 7,True,1981,2646,
"Ringvägen 62, 6tr",Södermalm - Katarina Sofia,Stockholms kommun,2022-08-17,3580000,3495000,Lägenhet,Bostadsrätt,2 ,40 ,True,6,True,1949,2225,
Brännkyrkagatan 66,Södermalm / Mariaberget,Stockholms kommun,2022-08-17,4010000,3495000,Lägenhet,Bostadsrätt,2 ,38 ,True,3 av 6,True,1964,1525,
"Tantogatan 43, 5 tr",Södermalm - Tanto,Stockholms kommun,2022-08-17,3500000,3500000,Lägenhet,Bostadsrätt,2 ,"42,5 ",,5,True,,2062,5800
Bergsunds Strand 31,Hornstull,Stockholms kommun,2022-08-16,5900000,4995000,Lägenhet,Bostadsrätt,2 ,"50,3 ",True,4 av 6,True,1931,1890,6588
"Lundagatan 36E, 4 tr",Hornstull - Högalid,Stockholms kommun,2022-08-14,3700000,3495000,Lägenhet,Bostadsrätt,2 ,38 ,False,4 av 4,True,1930,1954,11196
"Blekingegatan 48, 6tr",Katarina,Stockholms kommun,2022-08-12,7000000,,Lägenhet,Bostadsrätt,2 ,65 ,True,6 av 7,True,1967,2797,4000
Assessorsgatan 6,Södermalm - Skanstull,Stockholms kommun,2022-08-12,3685000,3375000,Lägenhet,Bostadsrätt,2 ,40 ,False,1,True,1929,2594,6600
Tideliusgränd 9,Katarina,Stockholms kommun,2022-08-10,4325000,4275000,Lägenhet,Bostadsrätt,2 ,48 ,True,2 av 5,True,2019,3135,11500
Tavastgatan 24,Södermalm - Mariatorget,Stockholms kommun,2022-08-09,3500000,3450000,Lägenhet,Bostadsrätt,2 ,39 ,False,0,False,1740,2500,14750
Gotlandsgatan 60 (Gårdsläge!),Södermalm,Stockholms kommun,2022-08-09,2995000,2995000,Lägenhet,Bostadsrätt,2 ,30 ,,1 av 5,True,1935,1597,2268
"Heleneborgsgatan 40, 5 tr",Södermalm - Högalid,Stockholms kommun,2022-08-09,4400000,4195000,Lägenhet,Bostadsrätt,2 ,40 ,True,5 av 6,True,1928,2283,5300
"Bergsundsgatan 16, BV",Södermalm,Stockholms kommun,2022-08-08,3350000,2895000,Lägenhet,Bostadsrätt,2 ,36 ,False,,,1938,2088,9840
Tjurbergsgatan 38,Södermalm,Stockholms kommun,2022-08-06,5600000,5495000,Lägenhet,Bostadsrätt,2 ,66 ,False,5 av 5,True,1926,3782,5880
Tengdahlsgatan 35,Södermalm,Stockholms kommun,2022-08-05,5550000,,Lägenhet,Bostadsrätt,2 ,"57,5 ",False,,,2003,3617,5880
"Erstagatan 22, 5tr",Södermalm - Katarina Sofia,Stockholms kommun,2022-08-05,6050000,5595000,Lägenhet,Bostadsrätt,2 ,"56,5 ",True,5 av 5,True,1939,3146,
Wollmar Yxkullsgatan 48D,Södermalm,Stockholms kommun,2022-08-04,3775000,3795000,Lägenhet,Bostadsrätt,2 ,"39,5 ",False,2 av 5,True,1927,2344,7300
Allhelgonagatan 15,Södermalm - Katarina Sofia,Stockholms kommun,2022-08-04,5500000,4995000,Lägenhet,Bostadsrätt,2 ,61 ,True,,,,2576,
"Västgötagränd 15, 3 tr",Södermalm,Stockholms kommun,2022-08-04,4900000,4795000,Lägenhet,Bostadsrätt,2 ,68 ,True,3 av 7,True,1991,4197,6000
Fatburs Kvarngata 11,Södermalm- Södra station,Stockholms kommun,2022-08-03,5100000,4995000,Lägenhet,Bostadsrätt,2 ,67 ,True,,,,4276,4800
Åsögatan 181,Södermalm,Stockholms kommun,2022-08-02,4475000,,Lägenhet,Bostadsrätt,2 ,48 ,False,3 av 5,True,1930,2346,2500
"Katarina bangata 60, vån 5",Södermalm,Stockholms kommun,2022-07-29,5500000,5500000,Lägenhet,Bostadsrätt,2 ,59 ,False,5 av 7,True,1987,2616,5880
"Gotlandsgatan 37, 4tr",Södermalm - Katarina,Stockholms kommun,2022-07-26,5000000,5250000,Lägenhet,Bostadsrätt,2 ,60 ,,4,False,1948,3539,
"Magnus Ladulåsgatan 49, 1tr",Södermalm,Stockholms kommun,2022-07-22,3900000,3495000,Lägenhet,Bostadsrätt,2 ,50 ,False,1 av 6,True,1988,2375,4800
