Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad,Länk
Klintbacken 1,Bromma / Mariehäll,Stockholms kommun,1339,2022-08-30,2500000,2195000,Lägenhet,Bostadsrätt,2 ,41.5 ,0,0,0,1944,2164,3000,https://www.hemnet.se/salda/lagenhet-2rum-bromma-mariehall-stockholms-kommun-klintbacken-1-360392295055375908
Porfyrvägen 28,Traneberg,Stockholms kommun,1587,2022-08-30,2880000,2750000,Lägenhet,Bostadsrätt,2 ,40 ,1,0,0,1939,2690,5100,https://www.hemnet.se/salda/lagenhet-2rum-traneberg-stockholms-kommun-porfyrvagen-28-8132857316113585784
Tranebergsvägen 107,Traneberg,Stockholms kommun,1229,2022-08-28,3600000,3450000,Lägenhet,Bostadsrätt,2 ,53.5 ,1,1,0,1945,3293,5400,"https://www.hemnet.se/salda/lagenhet-2rum-traneberg-stockholms-kommun-tranebergsvagen-107,-van-3-3-247937880509587656"
Johannesfredsvägen 26B,Bromma Johannesfred,Stockholms kommun,2058,2022-08-26,2930000,2650000,Lägenhet,Bostadsrätt,2 ,60 ,0,,,1946,3603,7548,https://www.hemnet.se/salda/lagenhet-2rum-bromma-johannesfred-stockholms-kommun-johannesfredsvagen-26b-9027774464910458398
Klädesvägen 28,Bromma - Riksby,Stockholms kommun,1189,2022-08-26,2780000,2495000,Lägenhet,Bostadsrätt,2 ,42 ,0,,,2016,2380,5400,https://www.hemnet.se/salda/lagenhet-2rum-bromma-riksby-stockholms-kommun-kladesvagen-28-7908703353508006691
Spångavägen 30,Bromma,Stockholms kommun,1574,2022-08-26,2420000,2395000,Lägenhet,Bostadsrätt,2 ,56 ,,1,0,1940,3810,6720,https://www.hemnet.se/salda/lagenhet-2rum-bromma-stockholms-kommun-spangavagen-30-4074537309213631996
Björkbacksvägen 48,Bromma - Ulvsunda,Stockholms kommun,1479,2022-08-26,2250000,1995000,Lägenhet,Bostadsrätt,2 ,45 ,0,0,0,1939,3864,7800,https://www.hemnet.se/salda/lagenhet-2rum-bromma-ulvsunda-stockholms-kommun-bjorkbacksvagen-48-2523531685169521511
Klädesvägen 38,Bromma - Riksby,Stockholms kommun,1275,2022-08-26,3100000,2995000,Lägenhet,Bostadsrätt,2 ,54 ,1,1,1,2016,3060,6000,https://www.hemnet.se/salda/lagenhet-2rum-bromma-riksby-stockholms-kommun-kladesvagen-38-1592213870774776949
Holbergsgatan 77,Bromma - Blackeberg,Stockholms kommun,1737,2022-08-25,2500000,2390000,Lägenhet,Bostadsrätt,2 ,59 ,1,,,1952,3796,,https://www.hemnet.se/salda/lagenhet-2rum-bromma-blackeberg-stockholms-kommun-holbergsgatan-77-9100097710132420083
Knypplerskevägen 10,Bromma - Åkeshov,Stockholms kommun,1476,2022-08-25,2160000,1995000,Lägenhet,Bostadsrätt,2 ,42 ,0,1,0,1942,3232,5100,https://www.hemnet.se/salda/lagenhet-2rum-bromma-akeshov-stockholms-kommun-knypplerskevagen-10-4921721490054202854
Alpvägen 23,Bromma / Mariehäll,Stockholms kommun,2135,2022-08-25,3600000,3295000,Lägenhet,Bostadsrätt,2 ,66 ,1,0,1,2017,3236,12276,https://www.hemnet.se/salda/lagenhet-2rum-bromma-mariehall-stockholms-kommun-alpvagen-23-1787805852118137223
Tranebergsvägen 91,Traneberg,Stockholms kommun,1259,2022-08-25,3575000,3650000,Lägenhet,Bostadsrätt,2 ,53.5 ,1,0,0,1945,3146,4440,https://www.hemnet.se/salda/lagenhet-2rum-traneberg-stockholms-kommun-tranebergsvagen-91-accepterat-pris-5569851356209663065
Dukvägen 41,Riksby,Stockholms kommun,1438,2022-08-25,3035000,2750000,Lägenhet,Bostadsrätt,2 ,51 ,1,1,0,,2968,,"https://www.hemnet.se/salda/lagenhet-2rum-riksby-stockholms-kommun-dukvagen-41,-van-3-3-3916915375377851819"
Karen Blixens Gata 7,Blackeberg,Stockholms kommun,1977,2022-08-24,3500000,2995000,Lägenhet,Bostadsrätt,2 ,62 ,1,1,1,2014,3604,8844,https://www.hemnet.se/salda/lagenhet-2rum-blackeberg-stockholms-kommun-karen-blixens-gata-7-882250180249131653
Björnsonsgatan 116,Bromma - Blackeberg,Stockholms kommun,1819,2022-08-24,2830000,2495000,Lägenhet,Bostadsrätt,2 ,59 ,1,1,0,1952,3288,6948,https://www.hemnet.se/salda/lagenhet-2rum-bromma-blackeberg-stockholms-kommun-bjornsonsgatan-116-9204795894896476764
Suddagummans gata 10,Bromma / Annedal,Stockholms kommun,2100,2022-08-24,3250000,2995000,Lägenhet,Bostadsrätt,2 ,65 ,1,1,1,2013,4060,18240,https://www.hemnet.se/salda/lagenhet-2rum-bromma-annedal-stockholms-kommun-suddagummans-gata-10-6775226903063324227
