Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad
Åkerhielmsgatan 24,Ulvsunda,Stockholms kommun,1446,2022-08-19,3900000,3795000,Lägenhet,Bostadsrätt,2 ,65 ,False,2 av 3,True,1929,4162,13587
Tallbacksvägen 24,Ulvsunda,Stockholms kommun,2009,2022-08-19,2750000,2495000,Lägenhet,Bostadsrätt,2 ,"49,5 ",,1 av 3,False,,3193,
Snörmakarvägen 11,Bromma - Åkeshov,Stockholms kommun,1628,2022-08-18,2400000,2095000,Lägenhet,Bostadsrätt,2 ,42 ,False,1 av 3,False,1942,3450,3600
Klädesvägen 40,Bromma,Stockholms kommun,1303,2022-08-18,2880000,2495000,Lägenhet,Bostadsrätt,2 ,43 ,True,3 av 6,True,2017,2437,
"Dukvägen 4, 1tr",Riksby,Stockholms kommun,1313,2022-08-17,3000000,2695000,Lägenhet,Bostadsrätt,2 ,51 ,True,1 av 3,False,1942,2969,6188
Beckomberga ängsväg 14,Bromma - Beckomberga,Stockholms kommun,2549,2022-08-17,2950000,2950000,Lägenhet,Bostadsrätt,2 ,57 ,False,,,2016,3790,4800
"Pippi Långstrumps Gata 44, 3 tr",Bromma - Annedal,Stockholms kommun,2100,2022-08-17,3265000,2895000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 5,True,2011,3107,
Stångjärnsvägen 5,Bromma - Johannesfred,Stockholms kommun,1929,2022-08-17,2475000,2195000,Lägenhet,Bostadsrätt,2 ,46 ,True,2 av 3,False,1946,2860,6000
"Stopvägen 98, 2tr",Bromma - Abrahamsberg/Åkeslund,Stockholms kommun,1510,2022-08-17,2450000,2250000,Lägenhet,Bostadsrätt,2 ,39 ,,2 av 3,False,1943,2890,4200
Björkbacksvägen 44,Johannesfred,Stockholms kommun,1867,2022-08-17,2450000,2395000,Lägenhet,Bostadsrätt,2 ,"46,5 ",True,2 av 3,False,,4141,
Tackjärnsvägen 14,Johannesfred,Stockholms kommun,1850,2022-08-16,2670000,2495000,Lägenhet,Bostadsrätt,2 ,"42,5 ",True,0 av 6,True,1989,2254,5400
Stångjärnsvägen 8,Bromma - Johannesfred,Stockholms kommun,1906,2022-08-15,2500000,2250000,Lägenhet,Bostadsrätt,2 ,46 ,True,3 av 3,False,1946,2905,10800
Spångavägen 42,Bromma Brommaplan,Stockholms kommun,1654,2022-08-15,2600000,,Lägenhet,Bostadsrätt,2 ,56 ,True,3 av 3,False,1941,3810,6000
"Registervägen 22, vån 2",Abrahamsberg,Stockholms kommun,1191,2022-08-15,2570000,2295000,Lägenhet,Bostadsrätt,2 ,40 ,True,2 av 3,False,1944,1939,
"Tranebergsvägen 43, vån 3/3",Traneberg,Stockholms kommun,1500,2022-08-15,3600000,3650000,Lägenhet,Bostadsrätt,2 ,60 ,True,3 av 3,False,,3273,5100
Björkbacksvägen 24,Bromma - Johannesfred/Ulvsunda,Stockholms kommun,1969,2022-08-14,2150000,1995000,Lägenhet,Bostadsrätt,2 ,38 ,False,1 av 3,False,1939,3310,5400
