Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Sankt Eriksgatan 85A,Vasastan - S:t Eriksplan,Stockholms kommun,2022-08-24,6400000,5995000,Lägenhet,Bostadsrätt,"2,5 ",72 ,,2,True,1926,1956,
"Hagaesplanaden 63, 5tr",Vasastan - Hagastaden,Stockholms kommun,2022-08-24,7550000,7495000,Lägenhet,Bostadsrätt,3 ,76 ,True,5 av 9,True,2022,4093,
"Tomtebogatan 51, 3tr",Vasastan - Birkastan,Stockholms kommun,2022-08-24,7050000,6995000,Lägenhet,Bostadsrätt,2 ,62 ,True,3,True,,3218,6360
Sankt Eriksplan 13,Vasastan,Stockholms kommun,2022-08-24,5075000,4995000,Lägenhet,Bostadsrätt,"1,5 ",48 ,True,2 av 8,True,1929,2541,4000
"Emmy Rappes gata 3, 8 tr",Vasastan/Hagastan,Stockholms kommun,2022-08-24,4700000,3950000,Lägenhet,Bostadsrätt,2 ,40 ,True,8 av 12,True,2020,2381,
"Rådmansgatan 46, 3 tr",Norrmalm/Vasastan,Stockholms kommun,2022-08-24,2625000,2695000,Lägenhet,Bostadsrätt,1 ,25 ,False,3 av 6,True,1959,2006,1000
"Roslagsgatan 55, 1½ tr",Vasastan - Sibirien,Stockholms kommun,2022-08-24,4010000,3475000,Lägenhet,Bostadsrätt,"1,5 ","35,5 ",True,1 av 4,False,1929,1972,
"Sankt Eriksgatan 103, 4tr",Vasastan,Stockholms kommun,2022-08-24,12750000,12990000,Lägenhet,Bostadsrätt,4 ,106 ,False,4 av 5,True,,3670,5400
"Dalagatan 86 G, 1½ tr",Vasastan,Stockholms kommun,2022-08-24,3700000,3695000,Lägenhet,Bostadsrätt,1 ,37 ,,1,True,1916,2204,8400
Rehnsgatan 12A,Vasastan,Stockholms kommun,2022-08-24,2600000,2600000,Lägenhet,Bostadsrätt,1 ,19 ,True,3 av 4,False,1888,1197,3960
Rörstrandsgatan 14,Vasastan - Birkastan,Stockholms kommun,2022-08-24,7000000,6500000,Lägenhet,Bostadsrätt,2 ,65 ,True,4 av 4,False,1914,2137,
Vikingagatan 7,Birkastan,Stockholms kommun,2022-08-24,18300000,19000000,Lägenhet,Bostadsrätt,4 ,133 ,True,6 av 6,True,1909,4889,9000
"Sigtunagatan 14A, gårdshuset",Vasastan - Vasaparken,Stockholms kommun,2022-08-23,3550000,3495000,Lägenhet,Bostadsrätt,1 ,34 ,,,,1898 - 1902,1264,
"Sveavägen 97, vindsvåning",Vasastan,Stockholms kommun,2022-08-23,7900000,8495000,Lägenhet,Bostadsrätt,2 ,65 ,True,5 av 5,True,,2726,
Norrtullsgatan 32 - 2tr,Vasastan,Stockholms kommun,2022-08-23,5495000,5495000,Lägenhet,Bostadsrätt,3 ,53 ,True,2 av 5,True,1939,2931,4860
