Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad,Länk
Valhallavägen 22A,Vasastan/Östermalm,Stockholms kommun,911,2022-08-22,3800000,3600000,Lägenhet,Bostadsrätt,2 ,36 ,0,3,1,1911,2025,,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-ostermalm-stockholms-kommun-valhallavagen-22a-4561242906064513430
Grev Turegatan 50,Östermalm,Stockholms kommun,651,2022-08-13,7300000,6900000,Lägenhet,Bostadsrätt,2 ,57 ,1,2 av 5,1,1883,1867,,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grev-turegatan-50-7467519193165193848
Valhallavägen 22B,Vasastan/Östermalm,Stockholms kommun,902,2022-08-12,4850000,4890000,Lägenhet,Bostadsrätt,2 ,55 ,0,1,1,1911,2973,4200,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-ostermalm-stockholms-kommun-valhallavagen-22b-6775722584415717207
Linnégatan 94,Östermalm,Stockholms kommun,896,2022-08-12,4100000,3950000,Lägenhet,Bostadsrätt,2 ,32 ,,3 av 5,1,,1718,8700,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-linnegatan-94-6888787552482889805
Grev Turegatan 8A - ACCEPTERAT PRIS,Östermalm / City,Stockholms kommun,330,2022-08-11,7850000,8400000,Lägenhet,Bostadsrätt,2 ,55 ,,2,1,2014,1868,,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-city-stockholms-kommun-grev-turegatan-8a-accepterat-pris-8157785351307206393
Kaptensgatan 15 A,Östermalm,Stockholms kommun,738,2022-08-10,5800000,4995000,Lägenhet,Bostadsrätt,2 ,45 ,,3 av 5,1,1896,2151,8600,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-kaptensgatan-15-a-1922345149850704325
"Runebergsgatan 6, Ö.g",Östermalm,Stockholms kommun,596,2022-08-08,7600000,7395000,Lägenhet,Andel i bostadsförening,2 ,64 ,1,2 av 4,0,1917,2433,5880,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-runebergsgatan-6,-o,g-8815875805298113499"
Sibyllegatan 11A,Östermalm,Stockholms kommun,511,2022-08-05,5950000,,Lägenhet,Bostadsrätt,2 ,49 ,,,,1906,2771,5000,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-sibyllegatan-11a-9112415409728197111
Östermalmsgatan 42A,Östermalm,Stockholms kommun,747,2022-08-04,6150000,6000000,Lägenhet,Bostadsrätt,2 ,47 ,1,1 av 4,0,1903,2076,7500,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-ostermalmsgatan-42a-3861973819586645234
"Riddargatan 20, 2tr",Östermalm,Stockholms kommun,448,2022-07-28,10225000,9450000,Lägenhet,Bostadsrätt,2 ,77 ,1,,,1938,2129,,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-riddargatan-20,-2tr-8055986967673175430"
Birger Jarlsgatan 120B - ACCEPTERAT PRIS,Vasastan Östermalm,Stockholms kommun,1096,2022-07-25,5150000,5295000,Lägenhet,Bostadsrätt,2 ,62 ,1,3 av 6,1,1969,1485,,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-ostermalm-stockholms-kommun-birger-jarlsgatan-120b-accepterat-pris-2398766385501184117
"Sibyllegatan 26, 4 tr",Östermalm,Stockholms kommun,767,2022-07-22,4225000,4250000,Lägenhet,Bostadsrätt,2 ,36 ,0,4 av 5,1,1934,1470,,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-sibyllegatan-26,-4-tr-8254748311452699646"
"Riddargatan 49A, 4tr",Östermalm,Stockholms kommun,872,2022-07-20,8000000,8450000,Lägenhet,Andel i bostadsförening,2 ,65 ,1,4 av 4,0,1893,1825,,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-riddargatan-49a,-4tr-422691731039311883"
Skeppargatan 58,Östermalm,Stockholms kommun,668,2022-07-06,7500000,7995000,Lägenhet,Bostadsrätt,2 ,67 ,1,,,1924,2627,6000,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-skeppargatan-58-7937464716962180086
Artillerigatan 43,Östermalm,Stockholms kommun,817,2022-07-06,9100000,9500000,Lägenhet,Bostadsrätt,2 ,70.5 ,,4 av 5,1,1898,3729,9300,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-artillerigatan-43-4995565366452444630
Grevgatan 57,Östermalm,Stockholms kommun,600,2022-07-06,7900000,8750000,Lägenhet,Bostadsrätt,2 ,63 ,,3,0,1885,2653,13600,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grevgatan-57-3607112685402706302
Skeppargatan 20A,Östermalm,Stockholms kommun,680,2022-07-01,4300000,4495000,Lägenhet,Bostadsrätt,2 ,38 ,0,2 av 4,0,1862,1901,,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-skeppargatan-20a-8792539736633003901
Surbrunnsgatan 5,Östermalm - Vasastan,Stockholms kommun,829,2022-07-01,4825000,4950000,Lägenhet,Bostadsrätt,2 ,41 ,1,4 av 5,1,,1699,5400,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-vasastan-stockholms-kommun-surbrunnsgatan-5-7255826005177739098
Melodislingan 22,Östermalm,Stockholms kommun,439,2022-06-29,5000000,4995000,Lägenhet,Bostadsrätt,2 ,44 ,1,4 av 6,1,2019,3702,,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-melodislingan-22-8545706250220625440
Värtavägen 4,Östermalm - Karlaplan,Stockholms kommun,351,2022-06-29,5295000,5295000,Lägenhet,Bostadsrätt,2 ,47 ,1,1,1,1917,2144,2880,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-karlaplan-stockholms-kommun-vartavagen-4-2153960549257319028
Wittstocksgatan 2,Östermalm,Stockholms kommun,378,2022-06-27,7300000,7900000,Lägenhet,Bostadsrätt,2 ,60 ,,4 av 6,1,1929,3117,8400,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-wittstocksgatan-2-8981129919209450685
Rådmansgatan 1B,Östermalm,Stockholms kommun,700,2022-06-21,7500000,6850000,Lägenhet,Bostadsrätt,2 ,54 ,1,2,1,1927,1583,11800,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-radmansgatan-1b-1884166484143389729
"Valhallavägen 38A, gårdshus",Vasastan/Östermalm,Stockholms kommun,860,2022-06-19,5000000,4995000,Lägenhet,Bostadsrätt,2 ,53 ,0,1,0,1905,2738,,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-ostermalm-stockholms-kommun-valhallavagen-38a,-gardshus-3262887385442133038"
"Linnégatan 31, 5 tr",Östermalm,Stockholms kommun,724,2022-06-17,6300000,6300000,Lägenhet,Bostadsrätt,2 ,40 ,1,5 av 5,1,1938,1167,,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-linnegatan-31,-5-tr-6595158117270384783"
"Brahegatan 3 A, 1,5 tr, Över Gård",Östermalm,Stockholms kommun,520,2022-06-16,5100000,4850000,Lägenhet,Bostadsrätt,2 ,43 ,0,2 av 4,0,1897,1792,2760,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-brahegatan-3-a,-1,5-tr,-over-gard-3351974013980702510"
Brahegatan 33 Gårdshus.,Östermalm,Stockholms kommun,579,2022-06-15,10000000,10000000,Lägenhet,Bostadsrätt,2 ,54 ,,,,1880,2567,11500,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-brahegatan-33-gardshus,-745791902161584993"
"Grevgatan 19, 4 tr",Östermalm,Stockholms kommun,804,2022-06-14,6350000,6450000,Lägenhet,Bostadsrätt,2 ,50 ,0,4 av 4,1,1931,1952,,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grevgatan-19,-4-tr-3898901633150826167"
Birger Jarlsgatan 104E - Accepterat pris,Östermalm / Vasastan,Stockholms kommun,1169,2022-06-10,4900000,4900000,Lägenhet,Bostadsrätt,2 ,43 ,,3,0,1928,2995,7369,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-vasastan-stockholms-kommun-birger-jarlsgatan-104e-accepterat-pris-8425063885679123999
Brahegatan 3B,Östermalm,Stockholms kommun,527,2022-06-10,6250000,6250000,Lägenhet,Bostadsrätt,2 ,50 ,,3 av 3,0,1897,2127,4400,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-brahegatan-3b-4994549800312100551
