Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad
Fyrspannsgatan 183,Hässelby Strand,Stockholms kommun,2022-08-17,2275000,2300000,Lägenhet,Bostadsrätt,2 ,55 ,True,4 av 4,True,2015,4050,3800
Kanngjutargränd 26,Vällingby,Stockholms kommun,2022-08-17,1910000,1795000,Lägenhet,Bostadsrätt,2 ,53 ,True,4 av 4,True,2006,3376,
"Mirabellbacken 7, Vån 1",Hässelby Strand,Stockholms kommun,2022-08-16,1720000,1495000,Lägenhet,Bostadsrätt,1 ,41 ,True,1 av 5,True,,2912,5795
Astrakangatan 110 C,Hässelby - Lövsta allé,Stockholms kommun,2022-08-16,2775000,2775000,Lägenhet,Bostadsrätt,3 ,79 ,False,1 av 2,True,2006,6160,
"Funäsgatan 8, Vån 8 (183/1703)",Råcksta / Vällingby Parkstad,Stockholms kommun,2022-08-15,2800000,2495000,Lägenhet,Bostadsrätt,2 ,47 ,,8 av 13,True,2018,2469,3300
Vittangigatan 13,Vällingby Centrum,Stockholms kommun,2022-08-15,1850000,1695000,Lägenhet,Bostadsrätt,2 ,41 ,True,,,1952,2587,1800
Kirunagatan 54,Vällingby Centrum,Stockholms kommun,2022-08-15,1395000,1395000,Lägenhet,Bostadsrätt,1 ,26 ,,3 av 3,False,,1600,
Ångermannagatan 170,Vällingby Centrum,Stockholms kommun,2022-08-11,1895000,1895000,Lägenhet,Bostadsrätt,1 ,36 ,True,5 av 10,True,1954,2266,2400
Mörsilsgatan 26,Vällingby Centrum,Stockholms kommun,2022-08-10,1750000,1495000,Lägenhet,Bostadsrätt,"1,5 ",37 ,False,0,False,1954,1852,7312
Hundlokegränd 30 (Våning 4),Hässelby - Lövsta Allé,Stockholms kommun,2022-08-09,2225000,1995000,Lägenhet,Bostadsrätt,2 ,54 ,True,4 av 4,True,2017,3477,3800
Östersundsgatan 7 (Våning 5),Vällingby Parkstad / Råcksta,Stockholms kommun,2022-08-09,3600000,3295000,Lägenhet,Bostadsrätt,4 ,97 ,True,5,True,2015,4906,8688
Loviselundsvägen 19B (Våning 2),Hässelby,Stockholms kommun,2022-08-05,1950000,1695000,Lägenhet,Bostadsrätt,2 ,61 ,True,2 av 3,True,2006,4671,4500
"Aprikosgatan 23, 2tr",Hässelby Strand,Stockholms kommun,2022-08-05,2710000,2495000,Lägenhet,Bostadsrätt,3 ,73 ,True,2 av 8,True,1957,4651,5350
Rabattvägen 38,Vällingby-Johannelund,Stockholms kommun,2022-08-05,2200000,1895000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 5,True,2013,3838,4500
Härnösandsgatan 2,Vällingby Parkstad / Råcksta,Stockholms kommun,2022-08-04,2640000,2295000,Lägenhet,Bostadsrätt,2 ,52 ,True,3 av 3,True,2019,2680,2700
Maltesholmsgränd 4,Hässelby Strand,Stockholms kommun,2022-08-04,2850000,2550000,Lägenhet,Bostadsrätt,"2,5 ",62 ,True,2 av 3,True,2013,2247,5940
"Nickelgränd 4, 6 tr",Vällingby - Grimsta,Stockholms kommun,2022-08-03,3090000,2595000,Lägenhet,Bostadsrätt,"3,5 ",75 ,True,6 av 9,True,1958,3650,5240
